movie,Nosey,Bossy,Easygoing,Rebellious,Humble,Conscientious
ID116vid6,53.52941176,55.17647059,52.58823529,60.76470588,49.05555556,57.33333333
ID116vid6,52.94117647,54.82352941,52.58823529,60.05882353,49.05555556,57.46666667
ID116vid6,51.11764706,55.29411765,53.70588235,59.94117647,48.94444444,56.46666667
ID116vid6,50.41176471,54.17647059,53.35294118,56.94117647,48.94444444,51.26666667
ID116vid6,46.76470588,52.88235294,54.05882353,55.70588235,49.16666667,51.26666667
ID116vid6,46.76470588,54.11764706,54.76470588,55.94117647,48.61111111,58.06666667
ID116vid6,46.17647059,52.29411765,55.82352941,56.17647059,48.05555556,58.73333333
ID116vid6,46.64705882,53.64705882,55.82352941,57.47058824,47.16666667,59.13333333
ID116vid6,46.05882353,51.47058824,59,56.76470588,47.05555556,58.73333333
ID116vid6,45.82352941,51.47058824,59.47058824,56.88235294,46.72222222,57.53333333
ID116vid6,45.11764706,51,59.58823529,56.05882353,46.16666667,56.86666667
ID116vid6,44.52941176,51.47058824,59.88235294,55.70588235,46.27777778,56.6
ID116vid6,44.17647059,51.35294118,59.76470588,54.88235294,46.72222222,55.4
ID116vid6,44.29411765,54.17647059,59.88235294,55,46.5,55.13333333
ID116vid6,45,52.82352941,60.23529412,54.64705882,46.38888889,55
ID116vid6,45.23529412,52.58823529,60.94117647,54.05882353,46.16666667,54.46666667
ID116vid6,44.41176471,51.88235294,61.17647059,53.35294118,46.27777778,54.33333333
ID116vid6,44.05882353,51.64705882,61.05882353,52.52941176,46.27777778,54.46666667
ID116vid6,44.17647059,50.94117647,61.05882353,52.82352941,46.05555556,54.06666667
ID116vid6,43.76470588,50.58823529,60,52.23529412,46.16666667,54.46666667
ID116vid6,43.52941176,50.23529412,59.76470588,51.64705882,46.61111111,55.13333333
ID116vid6,43.64705882,50.23529412,59.52941176,50.35294118,47.05555556,55.4
ID116vid6,44.35294118,49.17647059,59.41176471,48.58823529,47.83333333,56.2
ID116vid6,46.17647059,48.35294118,59.29411765,46.17647059,47.72222222,56.33333333
ID116vid6,46.52941176,47.41176471,59.05882353,44.64705882,47.83333333,54.66666667
ID116vid6,45.47058824,47.41176471,59.23529412,44.41176471,47.94444444,54.66666667
ID116vid6,45.23529412,49.70588235,58.05882353,43.35294118,47.72222222,54.93333333
ID116vid6,45.11764706,44.64705882,57.82352941,43.35294118,47.5,54.93333333
ID116vid6,45.35294118,46.82352941,57.94117647,42.41176471,47.83333333,55.8
ID116vid6,44.94117647,46,57.70588235,41.82352941,48.27777778,55.66666667
ID116vid6,44.47058824,45.29411765,57.82352941,41.17647059,48.27777778,55.66666667
ID116vid6,43.70588235,45.35294118,58.76470588,34.82352941,48.16666667,55.53333333
ID116vid6,43.58823529,45.05882353,58.17647059,38.58823529,47.94444444,55.93333333
ID116vid6,42.76470588,45.11764706,57.58823529,37.76470588,48.27777778,56.73333333
ID116vid6,42.76470588,44.64705882,57.70588235,37.05882353,48.94444444,57.4
ID116vid6,42.41176471,43.70588235,58.05882353,36.11764706,49.05555556,57
ID116vid6,42.41176471,44.23529412,58.41176471,36.35294118,48.94444444,56.86666667
ID116vid6,42.64705882,41.52941176,58.52941176,36.94117647,49.5,56.86666667
ID116vid6,43.05882353,42.23529412,59,37.88235294,49.5,56.86666667
ID116vid6,43.05882353,43.05882353,58.76470588,37.29411765,49.5,57.13333333
ID116vid6,43.29411765,42.47058824,58.76470588,37.29411765,50.16666667,57.4
ID116vid6,43.17647059,41.76470588,58.17647059,37.41176471,50.83333333,57.13333333
ID116vid6,43.82352941,42.76470588,57.76470588,38.35294118,51.05555556,57.26666667
ID116vid6,46.17647059,38.05882353,57.29411765,38,51.05555556,57.13333333
ID116vid6,46.41176471,42.76470588,57.64705882,37.05882353,51.5,57.93333333
ID116vid6,46.29411765,42.23529412,58,36.94117647,52.05555556,58.2
